artists,popularity,genres
35MM: A Musical Exhibition Original Cast,49,[]
36 Crazyfists,52,"['alternative metal', 'melodic metalcore', 'metalcore', 'nu metal', 'rap rock']"
38 Special,32.2888888889,"['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']"
3BallMTY,57,"['mexican indie', 'trival']"
3LAU,58,"['big room', 'edm', 'electro house', 'electronic trap', 'electropop', 'mashup', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']"
3LW,49.2,"['girl group', 'hip pop', 'r&b', 'urban contemporary']"
3OH!3,53.7,"['dance pop', 'electropowerpop', 'pop', 'pop punk', 'pop rap', 'post-teen pop']"
3T,45.3333333333,"['electro-industrial', 'industrial', 'industrial metal', 'industrial rock']"
3X Krazy,47,"['g funk', 'hyphy', 'west coast rap', 'west coast trap']"
3rd Bass,30,"['east coast hip hop', 'electro', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip house', 'rap']"
3rd Strike,38,"['nu metal', 'rap rock']"
3年E組うた担(渚&茅野&業&磯貝&前原),60,[]
4 Non Blondes,48,"['new wave pop', 'pop rock']"
4 P.M.,37,"['anime rock', 'vocaloid']"
4 Skins,35.5,"['oi', 'punk', 'ska']"
4 Strings,56,"['bubble trance', 'dutch trance', 'progressive house', 'trance', 'uplifting trance', 'vocal trance']"
40 Thevz,52,[]
42 Dugg,71,"['detroit trap', 'southern hip hop', 'trap']"
420 Unlovable,60,['meme rap']
42nd Street Ensemble,17.3333333333,['broadway']
433,64,[]
45 Grave,27.6666666667,"['dark wave', 'deathrock', 'gothic rock', 'horror punk']"
4B,54,"['brostep', 'electro house', 'electronic trap']"
4Him,32.6666666667,"['christian alternative rock', 'christian music', 'deep christian rock', 'worship']"
4Minute,61,"['k-pop', 'k-pop girl group']"
5 Seconds of Summer,61.9255319149,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
50 Cent,52.1976047904,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']"
504 Boyz,43.6666666667,"['dirty south rap', 'pop rap', 'southern hip hop']"
520Hz,56,['white noise']
54-40,45,"['canadian indie', 'canadian rock']"
5th Ward Boyz,36,"['dirty south rap', 'dirty texas rap', 'gangster rap']"
6 Dogs,68,"['dark trap', 'emo rap', 'melodic rap', 'underground hip hop', 'vapor trap']"
645AR,68,['meme rap']
69 Boyz,39.6,['miami bass']
6LACK,65.1176470588,"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop', 'pop rap', 'rap', 'trap']"
6cyclemind,57.5,"['classic opm', 'opm', 'pinoy rock']"
6ix9ine,69.8666666667,['emo rap']
7 Aurelius,51,[]
7 Seconds,30,"['hardcore', 'hardcore punk', 'melodic hardcore', 'punk', 'skate punk', 'straight edge', 'thrash core']"
7 Year Bitch,40,"['grunge', 'riot grrrl']"
702,51.8888888889,"['girl group', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']"
707,26,[]
7eventh Time Down,54,"['ccm', 'christian alternative rock', 'christian hard rock', 'christian music', 'christian rock']"
808 State,45.5,"['acid house', 'big beat', 'chicago house', 'electro', 'hardcore techno', 'hip house', 'intelligent dance music', 'madchester', 'rave', 'techno']"
88-Keys,54.5,['alternative hip hop']
88GLAM,74,"['canadian hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'toronto rap', 'trap', 'trap soul', 'underground hip hop', 'vapor trap']"
88rising,67.1428571429,"['asian american hip hop', 'pop']"
8Ball,41.5714285714,"['crunk', 'deep southern trap', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'rap', 'southern hip hop', 'trap']"
8Ball & MJG,39.9333333333,"['dirty south rap', 'gangster rap', 'memphis hip hop', 'rap', 'southern hip hop', 'trap']"
9 Days Wonder,0,[]
904TEZZO,62,[]
90sFlav,70,[]
93FEETOFSMOKE,68,"['dark trap', 'emo rap', 'underground hip hop']"
94 East,31,['minneapolis sound']
98º,49.8333333333,"['boy band', 'dance pop']"
99 Neighbors,61,[]
99 Percent,60,[]
999,33.3333333333,"['oi', 'pub rock', 'punk']"
9lokknine,71.3333333333,"['florida rap', 'vapor trap']"
9tails,67,['emo rap']
9th Wonder,49.5,"['alternative hip hop', 'hip hop', 'nc hip hop']"
? & The Mysterians,24.1818181818,"['bubblegum pop', 'chicano punk', 'classic garage rock', 'freakbeat', 'protopunk', 'psychedelic rock']"
?uestlove,41,['philly rap']
A,48,"['dance pop', 'pop', 'post-teen pop']"
A Boogie Wit da Hoodie,65.2352941176,"['melodic rap', 'pop rap', 'rap', 'trap']"
A Certain Ratio,28.5,"['dance rock', 'dance-punk', 'experimental', 'new wave', 'no wave', 'post-punk', 'uk post-punk']"
A Change of Pace,43,"['neon pop punk', 'pop emo', 'pop punk', 'screamo']"
A Day To Remember,53.0925925926,"['metalcore', 'pop punk', 'screamo']"
A Fine Frenzy,53,"['acoustic pop', 'lilith', 'neo mellow', 'pop rock']"
A Flock Of Seagulls,42.5,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
A Foot In Coldwater,32,[]
A Great Big World,58.25,"['indiecoustica', 'neo mellow', 'piano rock', 'pop rock']"
A Guy Called Gerald,46,"['acid house', 'atmospheric dnb', 'drum and bass', 'madchester', 'techno']"
A Heart Beats,37,"['doo-wop', 'rhythm and blues']"
A Jam Session At Victor,2,[]
A L E X,63,"['chillhop', 'lo-fi beats']"
A Perfect Circle,49.1355932203,"['alternative metal', 'alternative rock', 'modern rock', 'nu metal', 'post-grunge', 'rap rock', 'rock', 'supergroup']"
A R I Z O N A,65.0769230769,"['edm', 'electropop', 'indie poptimism', 'indietronica', 'pop', 'tropical house']"
A Rocket To The Moon,57.3333333333,"['alternative pop rock', 'neo mellow', 'neon pop punk', 'pixie', 'pop emo', 'pop punk', 'pop rock']"
